Wall time,Step,Value
1701129441.327987,249,0.0008318661712110043
1701129528.8200233,949,0.0005638077855110168
1701129577.0522716,1349,0.0007902734214439988
1701129583.07516,1399,0.0005531091010197997
1701129668.4953778,2049,0.0005874059279449284
1701129707.4354057,2399,0.0012865951284766197
1701129714.2574124,2449,0.0003150815609842539
1701129789.4757228,3149,0.00034387875348329544
1701129794.1258101,3199,0.0003580878837965429
1701129818.8941412,3399,0.00044976762728765607
1701129843.1748514,3599,0.0015718531794846058
1701129878.9643638,3899,0.001097733504138887
1701129907.535606,4149,0.0004111519083380699
1701129945.589807,4499,0.0006617511971853673
1701130005.1961303,4999,0.00018761544197332114
1701130029.3124442,5199,0.0003060567833017558
1701130044.695494,5399,0.0005745140952058136
1701130129.0424137,6099,0.0006336761871352792
1701130147.5178404,6299,0.0008243562187999487
1701130153.570814,6349,0.00040042458567768335
1701130166.5603278,6449,0.000627507921308279
1701130179.4656894,6549,0.0004097990458831191
1701130210.3901455,6849,0.00020702401525340974
1701130327.1732216,7249,0.0007831916445866227
1701130346.5290892,7399,0.0005261807236820459
1701130400.9711719,7899,0.00039420847315341234
1701130415.9006305,8049,0.00027074801619164646
1701130426.9419067,8149,0.0006554483552463353
1701130435.0026917,8249,0.0005004507256671786
1701130475.2101357,8649,0.0009209070121869445
1701130505.1543713,8899,0.0005606180056929588
1701130580.3682902,9599,0.00039869477041065693
1701130642.6016047,10199,0.00037468888331204653
1701130654.0349078,10299,0.00039291183929890394
1701130697.4288285,10699,0.0004746182239614427
1701130772.2628093,11499,0.0005862580146640539
1701130849.2339072,12249,0.0003917969879694283
1701130854.9728165,12299,0.0004328903160057962
1701130920.2325964,12949,0.0003761067637242377
1701130925.7626402,12999,0.0016036317683756351
1701130984.7262883,13599,0.0009479038999415934
1701130999.8627455,13749,0.0003417090920265764
1701131104.1752799,14149,0.0002530774800106883
1701131121.5658004,14299,0.0006877508712932467
1701131147.2250865,14549,0.00039005663711577654
1701131169.805255,14799,0.00039987784111872315
1701131238.0642498,15449,0.0006666770786978304
1701131279.1083283,15849,0.00044069415889680386
1701131289.7886817,15949,0.0016238840762525797
1701131295.3172958,15999,0.0008503818535245955
1701131310.8240607,16149,0.0006206139223650098
1701131428.1265328,17299,0.0006652568699792027
1701131433.367874,17349,0.0001883183722384274
