Wall time,Step,Value
1700709872.08853,249,1.7418005466461182
1700709972.9330711,949,0.3864005208015442
1700710028.1018832,1349,0.32596516609191895
1700710035.3592844,1399,0.4600803852081299
1700710120.8236337,2049,0.0920608788728714
1700710162.9130743,2399,0.23757514357566833
1700710170.1979973,2449,0.16148331761360168
1700710259.961674,3149,0.05704956501722336
1700710265.3633256,3199,0.05010991543531418
1700710293.3214114,3399,0.13525459170341492
1700710316.5012634,3599,0.09290874749422073
1700710352.3606274,3899,0.048632025718688965
1700710382.731291,4149,0.03662063553929329
1700710428.1728463,4499,0.04669138044118881
1700710486.0615227,4999,0.03685047850012779
1700710509.1194928,5199,0.0105926264077425
1700710531.720483,5399,0.033933497965335846
1700710611.5191734,6099,0.0170600526034832
1700710635.0837154,6299,0.015369979664683342
1700710641.2249825,6349,0.007250135764479637
1700710651.0260582,6449,0.01317887008190155
1700710661.699112,6549,0.013998789712786674
1700710695.2427638,6849,0.011664286255836487
1700710809.364675,7249,0.017686104401946068
1700710826.5907319,7399,0.013734523206949234
1700710879.689741,7899,0.006057054735720158
1700710896.9796932,8049,0.008277208544313908
1700710908.7257211,8149,0.00580008327960968
1700710920.0878944,8249,0.012069294229149818
1700710964.4816508,8649,0.0037316777743399143
1700710991.91557,8899,0.005202393978834152
1700711068.7386012,9599,0.009873957373201847
1700711133.056182,10199,0.007746187504380941
1700711143.2076948,10299,0.011714361608028412
1700711184.698612,10699,0.0035452283918857574
1700711268.9711387,11499,0.005917686969041824
1700711345.3296888,12249,0.0034083265345543623
1700711350.5808532,12299,0.0015461359871551394
1700711414.4222622,12949,0.00248892605304718
1700711419.532095,12999,0.0013618851080536842
1700711480.7924604,13599,0.0006479955045506358
1700711493.5804777,13749,0.0024998949375003576
1700711600.5378263,14149,0.004921068903058767
1700711615.2907526,14299,0.0014699517050758004
1700711643.0778263,14549,0.002629515016451478
1700711668.7039118,14799,0.0016500054625794291
1700711735.9610097,15449,0.0014820584328845143
1700711781.8985617,15849,0.0013565851841121912
1700711793.2296615,15949,0.0011760240886360407
1700711798.5941896,15999,0.004969275090843439
1700711814.12435,16149,0.0015421349089592695
1700711935.2847626,17299,0.001671127276495099
1700711941.0719337,17349,0.0017338711768388748
1700712002.924692,17949,0.0009846107568591833
1700712037.417503,18249,0.0008989118505269289
1700712043.0976107,18299,0.002870097290724516
1700712048.8130162,18349,0.001561550423502922
1700712111.5132947,18949,0.0012159269535914063
1700712153.976662,19349,0.0013955478789284825
1700712174.7491071,19549,0.0004428089887369424
1700712185.0334132,19649,0.0009259766084142029
1700712211.13303,19899,0.0017280136235058308
1700712234.1597083,20149,0.0004374359268695116
1700712242.2402573,20249,0.0014244613703340292
1700712373.15449,20799,0.0005235883872956038
1700712407.8887415,21099,0.0007110970327630639
1700712413.5724764,21149,0.0021182801574468613
1700712489.6577275,21849,0.0014567739563062787
1700712494.0939403,21899,0.001092433463782072
1700712502.9852202,21999,0.0009462374146096408
1700712537.9214003,22349,0.0007706350879743695
1700712621.2689533,23099,0.0003706574207171798
1700712644.260003,23299,0.0005186005728319287
1700712660.9931014,23449,0.0017303911736235023
1700712672.550247,23549,0.0002925837761722505
1700712694.044751,23749,0.0009913877584040165
1700712700.0972261,23799,0.0009895808761939406
1700712724.414559,24049,0.0005972321378067136
1700712729.0298076,24099,0.0009510035160928965
1700712760.1123478,24399,0.0008244706550613046
1700712882.6385732,25549,0.0009304182603955269
1700712891.9743307,25649,0.0005336159956641495
1700712897.7430315,25699,0.0017469206359237432
1700712903.359725,25749,0.0005145165487192571
1700712919.0993392,25899,0.00028435804415494204
1700712929.7422748,25999,0.0009612314752303064
1700713004.2424138,26699,0.00029983423883095384
1700713009.2374976,26749,0.0005947944009676576
1700713020.7632194,26849,0.00038038135971874
1700713031.4662366,26949,0.0006707410793751478
1700713042.8466756,27049,0.00021490776271093637
1700713062.3721094,27249,0.0006483728066086769
1700713073.0546658,27349,0.0002988071064464748
1700713177.3423533,27649,0.0004900819039903581
1700713199.9386685,27849,0.0003514020936563611
1700713233.1070106,28149,0.0011298495810478926
1700713243.6041124,28249,0.0002958660479635
1700713265.1675377,28449,0.0005614242982119322
1700713344.542231,29249,0.0004724355530925095
1700713375.0321493,29549,0.0003180907806381583
1700713394.32028,29749,0.0007115057087503374
1700713404.7036502,29849,0.0008069493342190981
1700713500.07147,30749,0.0003178065235260874
1700713538.4421742,31149,0.00034845812479034066
1700713544.2935817,31199,0.0004902995424345136
1700713574.0272183,31449,0.00043662451207637787
1700713579.563949,31499,0.0004360070452094078
1700713627.0050948,31899,0.0004531542072072625
1700713660.1718433,32199,0.0005664089694619179
1700713666.305407,32249,0.0007651352207176387
1700713696.5296304,32499,0.000217502485611476
1700713747.1647365,32949,0.00042714131996035576
1700713797.6740208,33399,0.00018362989067099988
1700713839.395816,33799,0.00027249992126598954
1700713845.6507454,33849,0.0003568432293832302
1700714008.6842952,34649,0.0020668823271989822
1700714020.7025518,34749,0.00122298754286021
1700714173.866413,36099,0.00024249314446933568
1700714185.293576,36199,0.0003212012816220522
1700714198.0035963,36299,0.00024707187549211085
1700714215.0229585,36449,0.0005690392572432756
1700714232.4857557,36599,0.00028424058109521866
1700714236.6931248,36649,0.0003378337132744491
1700714306.329905,37249,0.0004546287818811834
1700714420.9461296,38249,0.00023814057931303978
1700714481.696315,38799,0.00015450414502993226
1700714487.4328244,38849,0.00037045811768621206
1700714522.6727803,39149,0.00024246220709756017
1700714558.007752,39449,0.0007682042196393013
1700714647.4766984,40249,0.0002101037825923413
1700714653.1730685,40299,0.0007238313555717468
1700714665.0649636,40399,0.00019669155881274492
1700714730.1325643,40999,0.0006638344493694603
1700714871.845479,41649,0.0002906682784669101
1700714913.9916139,42049,0.0003367394092492759
1700714931.450324,42199,0.0003335479414090514
1700715009.2737827,42899,0.0007077211048454046
1700715032.296339,43149,0.0002959186094813049
1700715056.22011,43349,0.0002193516120314598
1700715083.7866118,43599,0.0008798596682026982
1700715169.3936613,44349,0.00020714409765787423
1700715232.472951,44899,0.0004117564531043172
1700715253.6706388,45099,0.00023412585142068565
1700715413.0024478,46549,0.00027907168259844184
1700715424.6013002,46649,0.00042136659612879157
1700715480.5098882,47149,0.00023170166241470724
1700715517.2617936,47499,0.00022744554735254496
1700715668.5493,48199,0.00034957064781337976
1700715776.9833739,49149,0.00019516408792696893
1700715843.883322,49749,0.0001858239556895569
